Tweet,Author,Created,Tags,Tweet Link,Type
"一些可用ChatGPT共享账号 ",https://twitter.com/abskoop,"February 13, 2023 4:10 PM",Tools,https://twitter.com/abskoop/status/1625043233054109696,Tweet
Galileo AI —— 文字描述自动生成界面,https://twitter.com/ftium4,"February 12, 2023 9:49 AM",Tools,https://twitter.com/ftium4/status/1624427434195169280,Tweet
如果你最近在准备前端面试,https://twitter.com/vikingmute,"February 10, 2023 7:30 PM",Interview,https://twitter.com/vikingmute/status/1623860125797859328,Tweet
ChatGPT makes you efficient.,https://twitter.com/Prathkum,"February 10, 2023 7:29 PM",Tools,https://twitter.com/Prathkum/status/1623590939389497345,Tweet
相信很多朋友已经被【ChatGPT 用 2 个月达到月活用户 1 亿】的新闻刷屏了，此前记录是 TikTok 用时 9 个月,https://twitter.com/starzqeth,"February 7, 2023 1:16 AM",Tools,https://twitter.com/starzqeth/status/1622583053498585088,Tweet
AI赛道越来越多好玩的了,https://twitter.com/samsir1997,"February 5, 2023 12:12 PM",Tools,https://twitter.com/samsir1997/status/1621893146287427589,Tweet
ZlibSearcher,https://twitter.com/435hz,"January 21, 2023 11:52 PM",Tools,https://twitter.com/435hz/status/1616636221723123712,Tweet
🥹按头疯狂安利一个免费的英文（多语言）学习网站（https://t.co/6uB8FEyu1O）！是Mooc跟外语高校联合做的平台。全是高校老师授课，吊打市面上99%的网络课程！关键是全部免费！免费！免费！还有课后习题训练，真的优质到落泪了。,https://twitter.com/Penny777_eth,"January 18, 2023 9:25 AM",Resource,https://twitter.com/Penny777_eth/status/1615474056282935301,Tweet
"#工具推荐 ",https://twitter.com/sailfishcc1,"January 17, 2023 7:21 AM",Tools,https://twitter.com/sailfishcc1/status/1614953245021208580,Tweet
#转需,https://twitter.com/tingyun97,"January 12, 2023 10:14 AM",Resource,https://twitter.com/tingyun97/status/1613000084094062592,Tweet
What is Your Favorite Robert De Niro Movie?,https://twitter.com/MASKEDMANIACXXX,"January 11, 2023 10:14 AM",Entertainment,https://twitter.com/MASKEDMANIACXXX/status/1612564065766760449,Tweet
"Rationale是我司推出的一款专为管理者和决策者打造的分析成效工具，它集成了最新的GPT3.x和上下文学习(in-context learning)技术，能够快速生成Pros & Cons和SWOT分析报告，帮助管理者和个人做出明智的决策。https://t.co/ZqEBpsicP7 ",https://twitter.com/hxiao,"January 5, 2023 12:19 PM",,https://twitter.com/hxiao/status/1610572290558758917,Tweet
#工程师工具  Pake x ZLibrary 可以玩出什么新玩意，通过 @Cydiar404 提供的 ZLibrary 能力，用 Pake 打包了一个支持 Mac/Windows/Linux 的很小桌面包，有海量电子书资源，简单搜索后可快速下载，有需要的可以去 Pake Github 找到常用包下载，觉得不错也很欢迎 Star 关注 ~,https://twitter.com/HiTw93,"January 5, 2023 12:03 PM",Resource,https://twitter.com/HiTw93/status/1610788794529095680,Tweet
"2023 年将会学习的一门课程：Practical Deep Learning for Coders by @jeremyphoward ",https://twitter.com/Tisoga,"January 2, 2023 6:45 PM",Programming,https://twitter.com/Tisoga/status/1609861338456821760,Thread
大家新年好，发张刚整理完的「全栈路线图」，今年的这个版本把商业模式、设计、开发、运营、增长都放进来了，更适合独立开发和副业创业。高清PDF和源文件请移步Github https://t.co/dTNXASH3RU,https://twitter.com/easychen,"January 1, 2023 9:27 PM",Resource,https://twitter.com/easychen/status/1609382532096880640,Tweet
Z-Library 的 TG bot 被封，分享几个推友搭建的下载 Z-lib 电子书的网站,https://twitter.com/nfnf2046,"December 30, 2022 8:13 AM",Resource,https://twitter.com/nfnf2046/status/1608416067772350465,Tweet
german,https://twitter.com/learngermann,"December 30, 2022 1:35 AM",,https://twitter.com/learngermann/status/1608502906499788801,Tweet
Rust语言24个绝佳框架、项目及资料库 - 开发者头条,,"December 28, 2022 6:08 PM",,,
https://www.youtube.com/watch?v=hj3j2jPcnKk,,"February 17, 2023 11:21 PM",,,
1/ 论文分享,https://twitter.com/realrenmin,"April 2, 2023 1:02 AM",Gpt,https://twitter.com/realrenmin/status/1641702212710834176,Tweet
🔥🚀发现一款好用的插件：GPT-EZ for ChatGPT！,https://twitter.com/sunyangphp,"March 31, 2023 6:53 PM","Gpt, Tools",https://twitter.com/sunyangphp/status/1641661774209650688,Tweet
AI工具图表合集,https://twitter.com/zaprobest,"March 31, 2023 6:53 PM","Gpt, Tools",https://twitter.com/zaprobest/status/1641668826688544768,Tweet
AI旧照片修复工具-restorePhotos,https://twitter.com/sunyangphp,"March 31, 2023 6:52 PM","Gpt, Tools",https://twitter.com/sunyangphp/status/1641451649104482305,Tweet
#AI开源项目推荐：markprompt,https://twitter.com/dotey,"March 31, 2023 8:30 AM",Gpt,https://twitter.com/dotey/status/1641276489780850690,Tweet
提供示例数据，AI可以帮你生成正则表达式,https://twitter.com/dotey,"March 31, 2023 8:26 AM",Gpt,https://twitter.com/dotey/status/1641515277736108059,Tweet
"My top tips for making your #GSoC proposal. A lot of you have been asking for my proposal, so here it is ⬇️",https://twitter.com/VyomYdv,"March 28, 2023 3:23 PM",Opensource,https://twitter.com/VyomYdv/status/1634229715794898945,Tweet
"How to make ChatGPT 100x better at solving math, science, and engineering problems for real?",https://twitter.com/DrJimFan,"March 24, 2023 11:21 PM",Tools,https://twitter.com/DrJimFan/status/1615725708281581568,Tweet
笑死了 这也太实用了x,https://twitter.com/YuukiRei_OWO,"March 24, 2023 8:23 PM",Tools,https://twitter.com/YuukiRei_OWO/status/1639184056993849345,Tweet
推荐5本堪称顶级神作的财经书，它们的特点是从全新维度和方法帮助读者弄通很多道理：这个世界是怎么走到现在的，贫富差距的根源，经济运转逻辑等。,https://twitter.com/raycat2021,"March 8, 2023 12:39 AM",Book,https://twitter.com/raycat2021/status/1633104788496760838,Tweet
简直DJ神器,https://twitter.com/9527kw,"February 19, 2023 10:39 AM",Tools,https://twitter.com/9527kw/status/1626958916822380547,Tweet
开通plus教程 送给不会的朋友https://t.co/QGndSwmE4o,https://twitter.com/buyorsellpoint,"February 18, 2023 6:12 PM",,https://twitter.com/buyorsellpoint/status/1626787697540100100,Tweet
https://www.notion.so/e583ee80c3984e0a9bc80ef04d5d2741?pvs=21,,"April 13, 2023 5:06 PM",,,
👏👏👏终于找到了适用所有人的 Midjourney 教程了,https://twitter.com/ponyweb3_eth,"April 18, 2023 12:54 AM",Midjourney,https://twitter.com/ponyweb3_eth/status/1647933776520163329,Tweet